participant_id,fsm_type,phase,feedback_condition,test_condition,trial_type,attempt,accuracy,phase_condition
56,easy,feedback,control,control,hidden,1.0,0.8666666666666667,feedback_control
56,easy,feedback,control,control,visible,1.0,1.0,feedback_control
56,easy,transfer,control,explanation,hidden,,0.4,transfer_explanation
56,easy,transfer,control,explanation,visible,,0.6,transfer_explanation
56,easy,transfer,control,prediction,hidden,,0.7,transfer_prediction
56,easy,transfer,control,prediction,visible,,0.8,transfer_prediction
57,easy,feedback,prediction,prediction,hidden,3.0,0.5333333333333333,feedback_prediction
57,easy,feedback,prediction,prediction,visible,2.0,0.8666666666666667,feedback_prediction
57,easy,transfer,prediction,control,hidden,,0.6,transfer_control
57,easy,transfer,prediction,control,visible,,0.5,transfer_control
57,easy,transfer,prediction,explanation,hidden,,0.5,transfer_explanation
57,easy,transfer,prediction,explanation,visible,,0.5,transfer_explanation
58,easy,feedback,explanation,explanation,hidden,1.0,0.6666666666666666,feedback_explanation
58,easy,feedback,explanation,explanation,visible,3.0,0.5333333333333333,feedback_explanation
58,easy,transfer,explanation,control,hidden,,0.8,transfer_control
58,easy,transfer,explanation,control,visible,,0.2,transfer_control
58,easy,transfer,explanation,prediction,hidden,,0.5,transfer_prediction
58,easy,transfer,explanation,prediction,visible,,0.4,transfer_prediction
59,easy,feedback,explanation,explanation,hidden,1.0,1.0,feedback_explanation
59,easy,feedback,explanation,explanation,visible,1.0,0.7333333333333333,feedback_explanation
59,easy,transfer,explanation,control,hidden,,0.6,transfer_control
59,easy,transfer,explanation,control,visible,,0.8,transfer_control
59,easy,transfer,explanation,prediction,hidden,,0.4,transfer_prediction
59,easy,transfer,explanation,prediction,visible,,0.9,transfer_prediction
60,easy,feedback,prediction,prediction,hidden,1.0,0.6666666666666666,feedback_prediction
60,easy,feedback,prediction,prediction,visible,1.0,0.7333333333333333,feedback_prediction
60,easy,transfer,prediction,control,hidden,,0.7,transfer_control
60,easy,transfer,prediction,control,visible,,0.6,transfer_control
60,easy,transfer,prediction,explanation,hidden,,0.3,transfer_explanation
60,easy,transfer,prediction,explanation,visible,,0.5,transfer_explanation
61,easy,feedback,prediction,prediction,hidden,1.0,0.7333333333333333,feedback_prediction
61,easy,feedback,prediction,prediction,visible,1.0,1.0,feedback_prediction
61,easy,transfer,prediction,control,hidden,,0.7,transfer_control
61,easy,transfer,prediction,control,visible,,0.7,transfer_control
61,easy,transfer,prediction,explanation,hidden,,0.7,transfer_explanation
61,easy,transfer,prediction,explanation,visible,,0.5,transfer_explanation
62,easy,feedback,prediction,prediction,hidden,1.0,0.7333333333333333,feedback_prediction
62,easy,feedback,prediction,prediction,visible,1.0,0.9333333333333333,feedback_prediction
62,easy,transfer,prediction,control,hidden,,0.6,transfer_control
62,easy,transfer,prediction,control,visible,,0.7,transfer_control
62,easy,transfer,prediction,explanation,hidden,,0.6,transfer_explanation
62,easy,transfer,prediction,explanation,visible,,0.8,transfer_explanation
63,easy,feedback,control,control,hidden,3.0,0.5333333333333333,feedback_control
63,easy,feedback,control,control,visible,1.0,0.7333333333333333,feedback_control
63,easy,transfer,control,explanation,hidden,,0.6,transfer_explanation
63,easy,transfer,control,explanation,visible,,0.6,transfer_explanation
63,easy,transfer,control,prediction,hidden,,0.5,transfer_prediction
63,easy,transfer,control,prediction,visible,,0.9,transfer_prediction
64,easy,feedback,control,control,hidden,1.0,0.6666666666666666,feedback_control
64,easy,feedback,control,control,visible,1.0,1.0,feedback_control
64,easy,transfer,control,explanation,hidden,,0.5,transfer_explanation
64,easy,transfer,control,explanation,visible,,0.6,transfer_explanation
64,easy,transfer,control,prediction,hidden,,0.4,transfer_prediction
64,easy,transfer,control,prediction,visible,,1.0,transfer_prediction
65,easy,feedback,control,control,hidden,2.0,0.6666666666666666,feedback_control
65,easy,feedback,control,control,visible,1.0,0.6666666666666666,feedback_control
65,easy,transfer,control,explanation,hidden,,0.5,transfer_explanation
65,easy,transfer,control,explanation,visible,,0.8,transfer_explanation
65,easy,transfer,control,prediction,hidden,,0.4,transfer_prediction
65,easy,transfer,control,prediction,visible,,0.7,transfer_prediction
66,easy,feedback,control,control,hidden,1.0,0.7333333333333333,feedback_control
66,easy,feedback,control,control,visible,1.0,0.9333333333333333,feedback_control
66,easy,transfer,control,explanation,hidden,,0.4,transfer_explanation
66,easy,transfer,control,explanation,visible,,0.6,transfer_explanation
66,easy,transfer,control,prediction,hidden,,0.6,transfer_prediction
66,easy,transfer,control,prediction,visible,,1.0,transfer_prediction
67,easy,feedback,explanation,explanation,hidden,1.0,0.7333333333333333,feedback_explanation
67,easy,feedback,explanation,explanation,visible,3.0,0.4666666666666667,feedback_explanation
67,easy,transfer,explanation,control,hidden,,0.5,transfer_control
67,easy,transfer,explanation,control,visible,,0.3,transfer_control
67,easy,transfer,explanation,prediction,hidden,,0.3,transfer_prediction
67,easy,transfer,explanation,prediction,visible,,0.6,transfer_prediction
68,easy,feedback,control,control,hidden,3.0,0.8,feedback_control
68,easy,feedback,control,control,visible,1.0,0.8666666666666667,feedback_control
68,easy,transfer,control,explanation,hidden,,0.7,transfer_explanation
68,easy,transfer,control,explanation,visible,,0.6,transfer_explanation
68,easy,transfer,control,prediction,hidden,,0.6,transfer_prediction
68,easy,transfer,control,prediction,visible,,0.5,transfer_prediction
69,easy,feedback,explanation,explanation,hidden,1.0,0.8,feedback_explanation
69,easy,feedback,explanation,explanation,visible,1.0,0.7333333333333333,feedback_explanation
69,easy,transfer,explanation,control,hidden,,0.5,transfer_control
69,easy,transfer,explanation,control,visible,,0.6,transfer_control
69,easy,transfer,explanation,prediction,hidden,,0.5,transfer_prediction
69,easy,transfer,explanation,prediction,visible,,0.6,transfer_prediction
70,easy,feedback,control,control,hidden,2.0,0.7333333333333333,feedback_control
70,easy,feedback,control,control,visible,1.0,0.6666666666666666,feedback_control
70,easy,transfer,control,explanation,hidden,,0.4,transfer_explanation
70,easy,transfer,control,explanation,visible,,0.5,transfer_explanation
70,easy,transfer,control,prediction,hidden,,0.4,transfer_prediction
70,easy,transfer,control,prediction,visible,,0.6,transfer_prediction
71,easy,feedback,control,control,hidden,1.0,0.7333333333333333,feedback_control
71,easy,feedback,control,control,visible,1.0,0.8666666666666667,feedback_control
71,easy,transfer,control,explanation,hidden,,0.5,transfer_explanation
71,easy,transfer,control,explanation,visible,,0.5,transfer_explanation
71,easy,transfer,control,prediction,hidden,,0.4,transfer_prediction
71,easy,transfer,control,prediction,visible,,0.9,transfer_prediction
72,easy,feedback,control,control,hidden,1.0,0.7333333333333333,feedback_control
72,easy,feedback,control,control,visible,1.0,0.6666666666666666,feedback_control
72,easy,transfer,control,explanation,hidden,,0.5,transfer_explanation
72,easy,transfer,control,explanation,visible,,0.6,transfer_explanation
72,easy,transfer,control,prediction,hidden,,0.7,transfer_prediction
72,easy,transfer,control,prediction,visible,,0.5,transfer_prediction
73,easy,feedback,control,control,hidden,3.0,0.6666666666666666,feedback_control
73,easy,feedback,control,control,visible,1.0,0.7333333333333333,feedback_control
73,easy,transfer,control,explanation,hidden,,0.8,transfer_explanation
73,easy,transfer,control,explanation,visible,,0.8,transfer_explanation
73,easy,transfer,control,prediction,hidden,,0.6,transfer_prediction
73,easy,transfer,control,prediction,visible,,0.8,transfer_prediction
74,easy,feedback,prediction,prediction,hidden,1.0,0.8,feedback_prediction
74,easy,feedback,prediction,prediction,visible,3.0,0.8,feedback_prediction
74,easy,transfer,prediction,control,hidden,,0.4,transfer_control
74,easy,transfer,prediction,control,visible,,0.7,transfer_control
74,easy,transfer,prediction,explanation,hidden,,0.4,transfer_explanation
74,easy,transfer,prediction,explanation,visible,,0.5,transfer_explanation
75,easy,feedback,prediction,prediction,hidden,3.0,0.4666666666666667,feedback_prediction
75,easy,feedback,prediction,prediction,visible,1.0,0.6666666666666666,feedback_prediction
75,easy,transfer,prediction,control,hidden,,0.4,transfer_control
75,easy,transfer,prediction,control,visible,,0.5,transfer_control
75,easy,transfer,prediction,explanation,hidden,,0.5,transfer_explanation
75,easy,transfer,prediction,explanation,visible,,0.4,transfer_explanation
76,easy,feedback,control,control,hidden,1.0,0.7333333333333333,feedback_control
76,easy,feedback,control,control,visible,1.0,0.7333333333333333,feedback_control
76,easy,transfer,control,explanation,hidden,,0.7,transfer_explanation
76,easy,transfer,control,explanation,visible,,0.6,transfer_explanation
76,easy,transfer,control,prediction,hidden,,0.3,transfer_prediction
76,easy,transfer,control,prediction,visible,,0.5,transfer_prediction
77,easy,feedback,control,control,hidden,1.0,0.6666666666666666,feedback_control
77,easy,feedback,control,control,visible,1.0,0.6666666666666666,feedback_control
77,easy,transfer,control,explanation,hidden,,0.6,transfer_explanation
77,easy,transfer,control,explanation,visible,,0.6,transfer_explanation
77,easy,transfer,control,prediction,hidden,,0.4,transfer_prediction
77,easy,transfer,control,prediction,visible,,0.4,transfer_prediction
78,easy,feedback,explanation,explanation,hidden,1.0,0.8,feedback_explanation
78,easy,feedback,explanation,explanation,visible,1.0,0.7333333333333333,feedback_explanation
78,easy,transfer,explanation,control,hidden,,0.6,transfer_control
78,easy,transfer,explanation,control,visible,,0.6,transfer_control
78,easy,transfer,explanation,prediction,hidden,,0.8,transfer_prediction
78,easy,transfer,explanation,prediction,visible,,0.5,transfer_prediction
79,easy,feedback,explanation,explanation,hidden,3.0,0.8666666666666667,feedback_explanation
79,easy,feedback,explanation,explanation,visible,2.0,0.6666666666666666,feedback_explanation
79,easy,transfer,explanation,control,hidden,,0.5,transfer_control
79,easy,transfer,explanation,control,visible,,0.7,transfer_control
79,easy,transfer,explanation,prediction,hidden,,0.5,transfer_prediction
79,easy,transfer,explanation,prediction,visible,,0.8,transfer_prediction
80,easy,feedback,prediction,prediction,hidden,3.0,0.3333333333333333,feedback_prediction
80,easy,feedback,prediction,prediction,visible,2.0,0.8666666666666667,feedback_prediction
80,easy,transfer,prediction,control,hidden,,0.4,transfer_control
80,easy,transfer,prediction,control,visible,,0.7,transfer_control
80,easy,transfer,prediction,explanation,hidden,,0.7,transfer_explanation
80,easy,transfer,prediction,explanation,visible,,0.8,transfer_explanation
81,easy,feedback,control,control,hidden,2.0,0.7333333333333333,feedback_control
81,easy,feedback,control,control,visible,2.0,0.9333333333333333,feedback_control
81,easy,transfer,control,explanation,hidden,,0.6,transfer_explanation
81,easy,transfer,control,explanation,visible,,0.7,transfer_explanation
81,easy,transfer,control,prediction,hidden,,0.4,transfer_prediction
81,easy,transfer,control,prediction,visible,,0.6,transfer_prediction
82,easy,feedback,prediction,prediction,hidden,3.0,0.7333333333333333,feedback_prediction
82,easy,feedback,prediction,prediction,visible,1.0,0.8,feedback_prediction
82,easy,transfer,prediction,control,hidden,,0.4,transfer_control
82,easy,transfer,prediction,control,visible,,0.3,transfer_control
82,easy,transfer,prediction,explanation,hidden,,0.7,transfer_explanation
82,easy,transfer,prediction,explanation,visible,,0.3,transfer_explanation
83,easy,feedback,prediction,prediction,hidden,1.0,0.7333333333333333,feedback_prediction
83,easy,feedback,prediction,prediction,visible,1.0,0.7333333333333333,feedback_prediction
83,easy,transfer,prediction,control,hidden,,0.9,transfer_control
83,easy,transfer,prediction,control,visible,,1.0,transfer_control
83,easy,transfer,prediction,explanation,hidden,,0.8,transfer_explanation
83,easy,transfer,prediction,explanation,visible,,1.0,transfer_explanation
84,easy,feedback,explanation,explanation,hidden,3.0,0.6,feedback_explanation
84,easy,feedback,explanation,explanation,visible,1.0,0.6666666666666666,feedback_explanation
84,easy,transfer,explanation,control,hidden,,0.6,transfer_control
84,easy,transfer,explanation,control,visible,,0.8,transfer_control
84,easy,transfer,explanation,prediction,hidden,,0.6,transfer_prediction
84,easy,transfer,explanation,prediction,visible,,0.7,transfer_prediction
86,easy,feedback,explanation,explanation,hidden,3.0,0.6666666666666666,feedback_explanation
86,easy,feedback,explanation,explanation,visible,3.0,0.5333333333333333,feedback_explanation
86,easy,transfer,explanation,control,hidden,,0.5,transfer_control
86,easy,transfer,explanation,control,visible,,0.4,transfer_control
86,easy,transfer,explanation,prediction,hidden,,0.4,transfer_prediction
86,easy,transfer,explanation,prediction,visible,,0.4,transfer_prediction
87,easy,feedback,explanation,explanation,hidden,3.0,0.6666666666666666,feedback_explanation
87,easy,feedback,explanation,explanation,visible,3.0,0.6666666666666666,feedback_explanation
87,easy,transfer,explanation,control,hidden,,0.5,transfer_control
87,easy,transfer,explanation,control,visible,,0.6,transfer_control
87,easy,transfer,explanation,prediction,hidden,,0.2,transfer_prediction
87,easy,transfer,explanation,prediction,visible,,0.3,transfer_prediction
89,easy,feedback,prediction,prediction,hidden,3.0,0.8,feedback_prediction
89,easy,feedback,prediction,prediction,visible,1.0,0.8,feedback_prediction
89,easy,transfer,prediction,control,hidden,,0.7,transfer_control
89,easy,transfer,prediction,control,visible,,0.7,transfer_control
89,easy,transfer,prediction,explanation,hidden,,0.6,transfer_explanation
89,easy,transfer,prediction,explanation,visible,,0.4,transfer_explanation
90,easy,feedback,explanation,explanation,hidden,3.0,0.7333333333333333,feedback_explanation
90,easy,feedback,explanation,explanation,visible,1.0,0.6666666666666666,feedback_explanation
90,easy,transfer,explanation,control,hidden,,0.6,transfer_control
90,easy,transfer,explanation,control,visible,,0.7,transfer_control
90,easy,transfer,explanation,prediction,hidden,,0.5,transfer_prediction
90,easy,transfer,explanation,prediction,visible,,0.7,transfer_prediction
91,easy,feedback,explanation,explanation,hidden,1.0,0.8666666666666667,feedback_explanation
91,easy,feedback,explanation,explanation,visible,1.0,0.8,feedback_explanation
91,easy,transfer,explanation,control,hidden,,0.7,transfer_control
91,easy,transfer,explanation,control,visible,,0.9,transfer_control
91,easy,transfer,explanation,prediction,hidden,,0.8,transfer_prediction
91,easy,transfer,explanation,prediction,visible,,0.9,transfer_prediction
92,easy,feedback,explanation,explanation,hidden,2.0,0.9333333333333333,feedback_explanation
92,easy,feedback,explanation,explanation,visible,2.0,0.8,feedback_explanation
92,easy,transfer,explanation,control,hidden,,0.6,transfer_control
92,easy,transfer,explanation,control,visible,,1.0,transfer_control
92,easy,transfer,explanation,prediction,hidden,,0.3,transfer_prediction
92,easy,transfer,explanation,prediction,visible,,0.8,transfer_prediction
93,easy,feedback,explanation,explanation,hidden,1.0,0.7333333333333333,feedback_explanation
93,easy,feedback,explanation,explanation,visible,3.0,0.6,feedback_explanation
93,easy,transfer,explanation,control,hidden,,0.3,transfer_control
93,easy,transfer,explanation,control,visible,,0.7,transfer_control
93,easy,transfer,explanation,prediction,hidden,,0.6,transfer_prediction
93,easy,transfer,explanation,prediction,visible,,0.6,transfer_prediction
94,easy,feedback,explanation,explanation,hidden,1.0,0.6666666666666666,feedback_explanation
94,easy,feedback,explanation,explanation,visible,3.0,0.7333333333333333,feedback_explanation
94,easy,transfer,explanation,control,hidden,,0.5,transfer_control
94,easy,transfer,explanation,control,visible,,0.9,transfer_control
94,easy,transfer,explanation,prediction,hidden,,0.6,transfer_prediction
94,easy,transfer,explanation,prediction,visible,,1.0,transfer_prediction
95,easy,feedback,prediction,prediction,hidden,2.0,0.7333333333333333,feedback_prediction
95,easy,feedback,prediction,prediction,visible,1.0,0.8,feedback_prediction
95,easy,transfer,prediction,control,hidden,,0.6,transfer_control
95,easy,transfer,prediction,control,visible,,0.8,transfer_control
95,easy,transfer,prediction,explanation,hidden,,0.6,transfer_explanation
95,easy,transfer,prediction,explanation,visible,,0.6,transfer_explanation
96,easy,feedback,prediction,prediction,hidden,1.0,0.6666666666666666,feedback_prediction
96,easy,feedback,prediction,prediction,visible,1.0,1.0,feedback_prediction
96,easy,transfer,prediction,control,hidden,,0.7,transfer_control
96,easy,transfer,prediction,control,visible,,0.8,transfer_control
96,easy,transfer,prediction,explanation,hidden,,0.1,transfer_explanation
96,easy,transfer,prediction,explanation,visible,,0.7,transfer_explanation
97,easy,feedback,explanation,explanation,hidden,1.0,0.8,feedback_explanation
97,easy,feedback,explanation,explanation,visible,3.0,0.8,feedback_explanation
97,easy,transfer,explanation,control,hidden,,0.7,transfer_control
97,easy,transfer,explanation,control,visible,,0.7,transfer_control
97,easy,transfer,explanation,prediction,hidden,,0.6,transfer_prediction
97,easy,transfer,explanation,prediction,visible,,0.7,transfer_prediction
98,easy,feedback,prediction,prediction,hidden,3.0,0.5333333333333333,feedback_prediction
98,easy,feedback,prediction,prediction,visible,1.0,0.8666666666666667,feedback_prediction
98,easy,transfer,prediction,control,hidden,,0.5,transfer_control
98,easy,transfer,prediction,control,visible,,0.6,transfer_control
98,easy,transfer,prediction,explanation,hidden,,0.4,transfer_explanation
98,easy,transfer,prediction,explanation,visible,,0.7,transfer_explanation
99,easy,feedback,explanation,explanation,hidden,1.0,0.8,feedback_explanation
99,easy,feedback,explanation,explanation,visible,1.0,0.7333333333333333,feedback_explanation
99,easy,transfer,explanation,control,hidden,,0.7,transfer_control
99,easy,transfer,explanation,control,visible,,0.7,transfer_control
99,easy,transfer,explanation,prediction,hidden,,0.5,transfer_prediction
99,easy,transfer,explanation,prediction,visible,,0.7,transfer_prediction
100,easy,feedback,explanation,explanation,hidden,3.0,0.7333333333333333,feedback_explanation
100,easy,feedback,explanation,explanation,visible,2.0,0.6666666666666666,feedback_explanation
100,easy,transfer,explanation,control,hidden,,0.5,transfer_control
100,easy,transfer,explanation,control,visible,,0.4,transfer_control
100,easy,transfer,explanation,prediction,hidden,,0.5,transfer_prediction
100,easy,transfer,explanation,prediction,visible,,0.4,transfer_prediction
101,easy,feedback,explanation,explanation,hidden,2.0,0.6666666666666666,feedback_explanation
101,easy,feedback,explanation,explanation,visible,2.0,0.7333333333333333,feedback_explanation
101,easy,transfer,explanation,control,hidden,,0.7,transfer_control
101,easy,transfer,explanation,control,visible,,0.8,transfer_control
101,easy,transfer,explanation,prediction,hidden,,0.4,transfer_prediction
101,easy,transfer,explanation,prediction,visible,,0.8,transfer_prediction
102,easy,feedback,explanation,explanation,hidden,1.0,0.7333333333333333,feedback_explanation
102,easy,feedback,explanation,explanation,visible,2.0,0.6666666666666666,feedback_explanation
102,easy,transfer,explanation,control,hidden,,0.5,transfer_control
102,easy,transfer,explanation,control,visible,,0.5,transfer_control
102,easy,transfer,explanation,prediction,hidden,,0.5,transfer_prediction
102,easy,transfer,explanation,prediction,visible,,0.7,transfer_prediction
103,easy,feedback,explanation,explanation,hidden,1.0,0.6666666666666666,feedback_explanation
103,easy,feedback,explanation,explanation,visible,3.0,0.5333333333333333,feedback_explanation
103,easy,transfer,explanation,control,hidden,,0.5,transfer_control
103,easy,transfer,explanation,control,visible,,0.4,transfer_control
103,easy,transfer,explanation,prediction,hidden,,0.7,transfer_prediction
103,easy,transfer,explanation,prediction,visible,,0.4,transfer_prediction
104,easy,feedback,prediction,prediction,hidden,2.0,0.6666666666666666,feedback_prediction
104,easy,feedback,prediction,prediction,visible,1.0,0.8,feedback_prediction
104,easy,transfer,prediction,control,hidden,,0.8,transfer_control
104,easy,transfer,prediction,control,visible,,0.9,transfer_control
104,easy,transfer,prediction,explanation,hidden,,0.9,transfer_explanation
104,easy,transfer,prediction,explanation,visible,,0.9,transfer_explanation
105,easy,feedback,prediction,prediction,hidden,1.0,0.8666666666666667,feedback_prediction
105,easy,feedback,prediction,prediction,visible,1.0,0.9333333333333333,feedback_prediction
105,easy,transfer,prediction,control,hidden,,0.5,transfer_control
105,easy,transfer,prediction,control,visible,,0.9,transfer_control
105,easy,transfer,prediction,explanation,hidden,,0.7,transfer_explanation
105,easy,transfer,prediction,explanation,visible,,0.9,transfer_explanation
107,easy,feedback,explanation,explanation,hidden,3.0,0.6666666666666666,feedback_explanation
107,easy,feedback,explanation,explanation,visible,3.0,0.6,feedback_explanation
107,easy,transfer,explanation,control,hidden,,0.4,transfer_control
107,easy,transfer,explanation,control,visible,,0.5,transfer_control
107,easy,transfer,explanation,prediction,hidden,,0.4,transfer_prediction
107,easy,transfer,explanation,prediction,visible,,0.8,transfer_prediction
108,easy,feedback,prediction,prediction,hidden,1.0,0.6666666666666666,feedback_prediction
108,easy,feedback,prediction,prediction,visible,2.0,0.7333333333333333,feedback_prediction
108,easy,transfer,prediction,control,hidden,,0.5,transfer_control
108,easy,transfer,prediction,control,visible,,0.5,transfer_control
108,easy,transfer,prediction,explanation,hidden,,0.3,transfer_explanation
108,easy,transfer,prediction,explanation,visible,,0.4,transfer_explanation
109,easy,feedback,prediction,prediction,hidden,3.0,0.4,feedback_prediction
109,easy,feedback,prediction,prediction,visible,1.0,0.6666666666666666,feedback_prediction
109,easy,transfer,prediction,control,hidden,,0.5,transfer_control
109,easy,transfer,prediction,control,visible,,0.5,transfer_control
109,easy,transfer,prediction,explanation,hidden,,0.6,transfer_explanation
109,easy,transfer,prediction,explanation,visible,,0.5,transfer_explanation
110,easy,feedback,prediction,prediction,hidden,3.0,0.6666666666666666,feedback_prediction
110,easy,feedback,prediction,prediction,visible,1.0,0.8,feedback_prediction
110,easy,transfer,prediction,control,hidden,,0.6,transfer_control
110,easy,transfer,prediction,control,visible,,0.6,transfer_control
110,easy,transfer,prediction,explanation,hidden,,0.7,transfer_explanation
110,easy,transfer,prediction,explanation,visible,,0.5,transfer_explanation
111,easy,feedback,explanation,explanation,hidden,3.0,0.6,feedback_explanation
111,easy,feedback,explanation,explanation,visible,2.0,0.8,feedback_explanation
